Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash,library_type
SRR12673024,2021-09-28 14:32:52,2020-09-18 19:11:51,155457,78039414,155457,502,51,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR012/12673/SRR12673024/SRR12673024.lite.1,SRX9152944,ULD001,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP283915,PRJNA664410,3,664410,SRS7392919,SAMN16213584,simple,449393,freshwater metagenome,ULD001,,,,,,,no,,,,,INDIANA UNIVERSITY,SRA1128180,,public,D824146BB7C8D01CE9E7E6FCB4671A24,6C10E2205012FCA5C4DE9B19E3D4D89C,DNA
SRR12673023,2021-09-28 14:32:52,2020-09-18 19:11:49,179530,90124060,179530,502,59,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR012/12673/SRR12673023/SRR12673023.lite.1,SRX9152945,ULD002,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP283915,PRJNA664410,3,664410,SRS7392920,SAMN16213585,simple,449393,freshwater metagenome,ULD002,,,,,,,no,,,,,INDIANA UNIVERSITY,SRA1128180,,public,B63EB7398FF2730DDD24FE9B7AED7A1D,AE7E854B34BD157866BEF6AAABD4F203,DNA
SRR12673022,2021-09-28 14:32:52,2020-09-18 19:11:44,120438,60459876,120438,502,39,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR012/12673/SRR12673022/SRR12673022.lite.1,SRX9152946,ULD011,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP283915,PRJNA664410,3,664410,SRS7392921,SAMN16213594,simple,449393,freshwater metagenome,ULD011,,,,,,,no,,,,,INDIANA UNIVERSITY,SRA1128180,,public,0AA144DEB3F5EFA303CD8BB0299F3C34,92336BA9E1E14E335CD2B995724A6377,DNA
SRR12673021,2021-09-28 14:32:52,2020-09-18 19:11:45,158637,79635774,158637,502,53,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR012/12673/SRR12673021/SRR12673021.lite.1,SRX9152947,ULD102,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP283915,PRJNA664410,3,664410,SRS7392922,SAMN16213684,simple,449393,freshwater metagenome,ULD102,,,,,,,no,,,,,INDIANA UNIVERSITY,SRA1128180,,public,8C3E4C8CBF2C4D5471B63805DD97705A,F6D77D80DBFB87C5ED328DA570BF8C47,DNA
SRR12673020,2021-09-28 14:32:52,2020-09-18 19:11:37,158802,79718604,158802,502,53,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12673/SRR12673020/SRR12673020.lite.1,SRX9152948,ULD103,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP283915,PRJNA664410,3,664410,SRS7392923,SAMN16213685,simple,449393,freshwater metagenome,ULD103,,,,,,,no,,,,,INDIANA UNIVERSITY,SRA1128180,,public,8327733E5D1E61EFF785234CC4511A06,0835E61AF56DB97EC7A23CC72294DEF5,DNA
SRR12673019,2021-09-28 14:32:52,2020-09-18 19:11:41,221437,111161374,221437,502,73,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR012/12673/SRR12673019/SRR12673019.lite.1,SRX9152949,ULD104,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP283915,PRJNA664410,3,664410,SRS7392924,SAMN16213686,simple,449393,freshwater metagenome,ULD104,,,,,,,no,,,,,INDIANA UNIVERSITY,SRA1128180,,public,D09065434D45EF9E785FCE10CEC6995D,57B0D356B6AB2C3237C69509A11D2BCF,DNA
SRR12673018,2021-09-28 14:32:52,2020-09-18 19:11:32,158764,79699528,158764,502,53,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR012/12673/SRR12673018/SRR12673018.lite.1,SRX9152950,ULD105,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP283915,PRJNA664410,3,664410,SRS7392925,SAMN16213687,simple,449393,freshwater metagenome,ULD105,,,,,,,no,,,,,INDIANA UNIVERSITY,SRA1128180,,public,9992AEFA5080FEDDC3FB9436EC064670,879108F22D8AA56902684D9478425195,DNA
SRR12673017,2021-09-28 14:32:52,2020-09-18 19:11:40,178148,89430296,178148,502,59,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR012/12673/SRR12673017/SRR12673017.lite.1,SRX9152951,ULD106,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP283915,PRJNA664410,3,664410,SRS7392926,SAMN16213688,simple,449393,freshwater metagenome,ULD106,,,,,,,no,,,,,INDIANA UNIVERSITY,SRA1128180,,public,6C578046DDF0952C79C7882F2E7B57D1,12ED68BE936DD7468A9D1F9E13673A1D,DNA
SRR12673016,2021-09-28 14:32:52,2020-09-18 19:11:35,187331,94040162,187331,502,63,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR012/12673/SRR12673016/SRR12673016.lite.1,SRX9152952,ULD107,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP283915,PRJNA664410,3,664410,SRS7392927,SAMN16213689,simple,449393,freshwater metagenome,ULD107,,,,,,,no,,,,,INDIANA UNIVERSITY,SRA1128180,,public,BE6CA8F56EECCD88A4EBFE89AE0079B2,88483B55197083438603DE654267A771,DNA
SRR12673015,2021-09-28 14:32:52,2020-09-18 19:11:40,172482,86585964,172482,502,57,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-820/SRR012/12673/SRR12673015/SRR12673015.lite.1,SRX9152953,ULD108,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP283915,PRJNA664410,3,664410,SRS7392928,SAMN16213690,simple,449393,freshwater metagenome,ULD108,,,,,,,no,,,,,INDIANA UNIVERSITY,SRA1128180,,public,C22AD916D108D05B5C523DCC1B806CB9,3F63A65BC30DA48896492FD6781D2DD3,DNA
SRR12673011,2021-09-28 14:32:52,2020-09-18 19:11:05,59940,30089880,59940,502,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR012/12673/SRR12673011/SRR12673011.lite.1,SRX9152957,ULD012,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP283915,PRJNA664410,3,664410,SRS7392932,SAMN16213595,simple,449393,freshwater metagenome,ULD012,,,,,,,no,,,,,INDIANA UNIVERSITY,SRA1128180,,public,CAF72FDA00AC1EBFEF71525EA423CE3D,4B07B4D71A202448831CAE94906638F5,DNA
SRR12673014,2021-09-28 14:32:52,2020-09-18 19:11:34,175790,88246580,175790,502,58,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos8/sra-pub-zq-818/SRR012/12673/SRR12673014/SRR12673014.lite.1,SRX9152954,ULD109,AMPLICON,PCR,METAGENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP283915,PRJNA664410,3,664410,SRS7392929,SAMN16213691,simple,449393,freshwater metagenome,ULD109,,,,,,,no,,,,,INDIANA UNIVERSITY,SRA1128180,,public,DFB790C850616F17658FC4BF0C8FCBFD,67CBB8C7B58155A9D816EA0107235F1D,DNA
